address,apn,ord_no,enacted,construction_date,historic_name
1802 C Street,002-0095-019,83-115,9/28/1983,late 1920’s,
1341 North C Street,001-0130-007,2011-011,2/15/2011,1948,Fire Station #14
1201-1217 C Street,"002-0081-002,003",82-046,6/15/1982,1919-1920,
1236 C Street,002-0082-004,82-046,6/15/1982,1927-1928,White Company-Trucks
1721 C Street,002-0095-021,82-046,6/15/1982,1925,Calpak Plant No. 11
1107 D Street,002-0075-020,82-029,4/27/1982,Unknown,
1120 D Street,002-0115-009,82-029,4/27/1982,c. 1890-1895,
1317 D Street,002-0084-008,3911,8/2/1977,c. 1870,
1320 D Street,002-0123-006,3911,8/2/1977,1893,
1331 D Street,002-0084-006,3911,8/2/1977,c. 1875-1880,
1404-1406 D Street,002-0125-005,3911,8/2/1977,Unknown,
1413-1415 D Street,002-0086-018,3911,8/2/1977,1891,
1503 D Street,002-0092-019,3911,8/2/1977,c. 1890-1895,
1530 D Street & 400 16th Street,002-0131-010,82-046,6/15/1982,1927,Reed and McKee Tires
2019 D Street,003-0075-018,3911,8/2/1977,1909,
2022 D Street,003-0125-008,3911,8/2/1977,1906-1907,
701 E Street,002-0105-015,82-029,4/27/1982,c. 1875,Anton Wagner Duplex
728-730 E Street,002-0102-007,82-029,4/27/1982,1913,
729-731 E Street,002-0105-010,82-029,4/27/1982,1911,The Glenwood
804 E Street,002-0104-027,82-029,4/27/1982,c. 1890-1895,
808 E Street,002-0104-026,82-029,4/27/1982,c. 1890-1895,
914 E Street,002-0112-006,3911,6/15/1982,1915,
1001 E Street & 427 10th Street,002-0113-018,82-046,6/15/1982,1868,
1100 E Street,002-0116-003,82-029,4/27/1982,1895,"Anton Wagner, Grocer"
1104-1106 E Street,002-0116-004,82-029,4/27/1982,c. 1910,
1212 E Street,002-0122-030,82-029,4/27/1982,c. 1896,
1214 E Street,002-0122-030,82-029,4/27/1982,1896,
1310-1312 E Street,002-0124-005,3911,8/2/1977,1893,
1315 E Street,002-0123-014,3911,8/2/1977,c. 1892-1895,
1317 E Street,002-0123-013,3911,8/2/1977,c. 1890,
1416 E Street,002-0126-003,3911,8/2/1977,c. 1885-1890,
1425 E Street,002-0125-021,3911,8/2/1977,1889,
1701 E Street,002-0135-006,3911,8/2/1977,c. 1890-1895,
1909-1911  E Street,003-0123-011,3911,8/2/1977,c. 1890,
1915 E Street,003-0123-010,3911,8/2/1977,c. 1890,
1917 E Street,003-0123-010,82-046,6/15/1982,1910,
2015 E Street,003-0125-019,3911,8/2/1977,1910,
2106 E Street,003-0132-005,3911,8/2/1977,c. 1910-1913,
2219 E Street,003-0133-018,3911,8/2/1977,c. 1910,
2625 E Street,003-0145-018,3911,8/2/1977,1895,
3021 E Street,003-0161-026,3911,8/2/1977,c. 1910-1915,
813 F Street,002-0104-017,82-029,4/27/1982,1897,
827 F Street,002-0104-014,82-029,4/27/1982,c. 1898,
829 F Street,002-0104-025,82-029,4/27/1982,c. 1898,
831 F Street,002-0104-025,82-029,4/27/1982,c. 1898,
925-927 F Street,007-0380-002,3991,8/2/1977,Pre-1885,
1010 F Street,002-0155-033,82-029,4/27/1982,c. 1857,
1020 F Street,002-0155-034,82-029,4/27/1982,c. 1865,
1024 F Street,002-0155-035,82-029,4/27/1982,c. 1869,
1029 F Street,002-0116-039,82-029,4/27/1982,c. 1853,J. Neely Johnson House
1105 F Street,002-0116-053,82-029,4/27/1982,c. 1902,
1107 F Street,002-0116-050,82-029,4/27/1982,Pre-1865,
1115 F Street,002-0116-049,82-029,4/27/1982,c. 1893,
1126 F Street,002-0157-006,82-029,4/27/1982,c. 1882,
1213-1215 F Street,002-0122-021,82-029,4/27/1982,c. 1910,
1221-1223 F Street,002-0122-019,82-029,4/27/1982,c. 1912,
1308 F Street,002-0163-006,3911,8/2/1977,c. 1890,
1310-1312 F Street,002-0163-007,3911,8/2/1977,c. 1885,
1311 F Street,002-0124-020,3911,8/2/1977,c. 1875,
1314 F Street,002-0163-008,3911,8/2/1977,c. 1890,
1322 F Street,002-0163-010,3911,8/2/1977,c. 1890,
1323 F Street,002-0124-017,3911,8/2/1977,1881,
1409 F Street,002-0126-016,3911,8/2/1977,c. 1900,
1418 F Street,002-0165-007,3911,8/2/1977,1892,
1424 F Street,002-0165-008,3911,8/2/1977,1894,
1426 F Street,002-0165-009,3911,8/2/1977,1895,
1428-1430 F Street,002-0165-010,3911,8/2/1977,c. 1895,
1508 F Street,002-0171-003,3911,8/2/1977,1893,
1511 F Street,002-0132-020,3911,8/2/1977,1895,
1630 F Street,002-0173-031,3911,8/2/1977,1896,
1700 F Street,002-0175-003,3911,8/2/1977,1898,
1706 F Street,002-0175-004,3911,8/2/1977,1898,
1710 F Street,002-0175-005,3911,8/2/1977,c. 1890,
1714 F Street,002-0175-007,3911,8/2/1977,c. 1885-1890,
1730 F Street,002-0175-011,82-046,6/15/1982,1922,Giachino Matranga-Groceries
1801 F Street,003-0122-022,3911,8/2/1977,1906,
1805 & 1807 F Street,003-0122-021,3911,8/2/1977,1911,
1811 F Street,003-0122-020,3911,8/2/1977,1913,
1815 F Street,003-0122-019,3911,8/2/1977,c. 1905-1910,
1818 F Street,003-0171-007,3911,8/2/1977,1887,
1824 F Street,003-0171-009,3911,8/2/1977,1885,
1830 F Street,003-0171-010,3911,8/2/1977,c. 1885,
1904 F Street,003-0173-004,3911,8/2/1977,c. 1898,
2019 F Street,003-0126-018,3911,8/2/1977,c. 1905-1910,
2100 F Street,003-0181-003,3911,8/2/1977,c. 1910-1911,
2111 F Street,003-0132-017,3911,8/2/1977,c. 1905,
2112 F Street,003-0181-004,3911,8/2/1977,c. 1905-1910,
2131 F Street,003-0132-014,3911,8/2/1977,1913,
2508 F Street,003-0193-025,3911,8/2/1977,1894,
2728 F Street,003-0201-009,3911,8/2/1977,c. 1895,
917 G Street,002-0151-030,82-029,4/27/1982,c. 1863,
925 G Street,002-0151-017,82-029,4/27/1982,1869,Van Voorhies House
1022 G Street,002-0154-008,82-029,4/27/1982,1910,
1106 G Street,002-0156-005,82-029,4/27/1982,1871,
1108 G Street,002-0156-006,82-029,4/27/1982,c. 1870-1873,
1112 G Street,002-0156-008,82-029,4/27/1982,1905,
1211-1215 G Street,002-0161-017,82-046,6/15/1982,1930,
1307 G Street,002-0163-023,3911,8/2/1977,c. 1905-1910,
1400 & 1408 G Street,002-0166-002,82-046,6/15/1982,1894-1895,W.J. Toland-Grocery
1509 G Street,002-0171-018,3911,8/2/1977,c. 1890,
1511 G Street,002-0171-017,3911,8/2/1977,c. 1905,
1723 G Street,002-0175-015,3911,8/2/1977,c. 1880,
1807 G Street,003-0171-019,3911,8/2/1977,c. 1895-1900,
1822 G Street,003-0172-008,3911,8/2/1977,1913,
1826 G Street,003-0172-009,3911,8/2/1977,1871,
2120 G Street,003-0182-005,3911,8/2/1977,c. 1912,
2331 G Street,003-0185-023,3911,8/2/1977,c. 1900,
2410 & 2414 G Street,003-0192-005,3911,8/2/1977,1894,
2418 G Street,003-0192-006,3911,8/2/1977,1894,
2431 G Street,003-0191-016,3911,8/2/1977,c. 1905-1910,
2001 G Street,003-0175-021,3911,8/2/1977,1915,
3018 G Street,003-0212-008,81-117,12/22/1981,1894-1895,
3024 G Street,003-0212-009,82-086,10/12/1982,c. 1923,
3025 G Street,003-0211-020,82-086,10/12/1982,1923,
3026 G Street,003-0212-009,82-086,10/12/1982,1923,
2531 G Street,003-0193-012,3911,8/2/1977,c. 1910-1915,
2620 G Street,003-0196-007,3911,8/2/1977,1896,
2628 G Street,003-0196-008,3911,8/2/1977,c. 1890,
1301-1303 H Street,002-0164-015,3911,Aug 2 1977,Pre-1896,
1307 H Street,002-0164-014,3911,8/2/1977,Pre-1865,
1021 H Street,002-0152-015,3911,8/2/1977,c. 1885,Latriada Apartments
1210 H Street,006-0051-003,2009-013,8/25/2009,c. 1910,
1232 H Street,006-0051-008,3911,8/2/1977,Unknown,
1300 H Street,006-0053-001,3911,8/2/1977,1894,
1530 H Street,006-0061-003,3911,8/2/1977,1898,Albert Gallatin Mansion (Governor’s
1828-1830 H Street,007-0011-010,3911,Aug 2 1977,1910,
1900 H Street,007-0013-002,3911,8/2/1977,1883,
1906 H Street,007-0013-003,3911,8/2/1977,c. 1880,
2001 H Street,003-0176-015,3911,8/2/1977,c. 1909,
2030 H Street,007-0015-007,82-046,6/15/1982,1908-1909,Boulevard Pharmacy
1616 H Street,006-0063-003,3911,8/2/1977,c. 1905-1910,
1717 H Street,002-0176-014,3911,8/2/1977,1900,
1826 H Street,007-0011-009,3911,8/2/1977,1910,
1827 H Street,003-0172-015,3911,8/2/1977,Pre-1875,
2101 H Street,003-0182-014,3911,8/2/1977,1909,
2106 H Street,007-0021-004,3911,8/2/1977,c. 1907-1910,
2115 H Street,003-0182-013,3911,8/2/1977,1909,
2119 H Street,003-0182-012,3911,8/2/1977,1909,
2120 H Street,007-0021-008,3911,8/2/1977,c. 1893,
2131 H Street,003-0182-017,3911,8/2/1977,1907,
2201 H Street,003-0184-019,3911,8/2/1977,c. 1905-1910,
2217-2219 H Street,003-0184-016,3911,8/2/1977,1912,
2222 H Street,007-0023-007,3911,8/2/1977,c. 1910-1915,
2230 H Street,007-0023-009,3911,8/2/1977,1896,
2308 H Street,007-0025-002,3911,8/2/1977,1878,
2312 H Street,007-0025-003,3911,8/2/1977,1881,
2330 H Street,007-0025-007,3911,8/2/1977,1893,
2404 H Street,007-0031-003,3911,8/2/1977,c. 1900,
2405 H Street,003-0192-020,3911,8/2/1977,c. 1900,
2409 H Street,003-0192-019,3911,8/2/1977,1895-1900,
2417 H Street,003-0192-017,3911,8/2/1977,c. 1900-1905,
2500 H Street,007-0033-003,3911,8/2/1977,1903,
2721 H Street,003-0202-007,3911,8/2/1977,c. 1910-1913,
2727 H Street,003-0202-005,3911,8/2/1977,1913,
2731 H Street,003-0202-004,3911,8/2/1977,1898,
2531 H Street,003-0194-018,3911,8/2/1977,c. 1910-1913,
2604 H Street,007-0035-004,3911,8/2/1977,c. 1915,
2611 H Street,003-0196-020,3911,8/2/1977,c. 1910,
2630 H Street,007-0035-010,3911,8/2/1977,Pre-1885,
801 I Street,006-0035-010,82-046,6/15/1982,1933,US Postal Service Metro Station
828 I Street,006-0036-037,83-115,9/28/1983,1918,Sacramento City Library
435 I Street,002-0010-042,82-046,6/15/1982,1925,REA Building
730 I Street,006-0034-019,2019-018,5/28/2019,1960,"Bank of America, Sacramento Branch"
1816-1818 I Street,007-0012-007,3911,8/2/1977,1908,
1905 I Street,007-0013-013,2007-058,8/2/1977,1920,
2001 I Street,007-0015-016,3911,8/2/1977,1880,
2011 I Street,007-0015-014,3911,8/2/1977,1900,
2100 I Street,007-0022-002,3911,8/2/1977,c. 1915,
2101-2103  I Street,007-0021-027,3911,8/2/1977,1898,
2111 I Street,007-0021-029,3911,8/2/1977,c. 1890,
2125 I Street,007-0021-024,3911,8/2/1977,c. 1894,
2213-2215 I Street,007-0023-018,3911,8/2/1977,c. 1913-1915,
2300 I Street,007-0026-004,3911,8/2/1977,c. 1906,
2404 I Street,007-0032-006,3911,8/2/1977,1900,
2405 I Street,007-0031-017,3911,8/2/1977,c. 1894,
2416 I Street,007-0032-009,3911,8/2/1977,1892-1897,
2417 I Street,007-0031-014,3911,8/2/1977,c. 1883,
2501 I Street,007-0033-021,3911,8/2/1977,c. 1900,
2505 I Street,007-0033-020,3911,8/2/1977,c. 1915,
2608-2610 I Street,007-0036-004,3911,8/2/1977,1886,
2400 I Street,007-0032-004,3911,8/2/1977,c. 1900,
2401 I Street,007-0031-018,3911,8/2/1977,1894,
2620-2626 I Street,007-0036-017,3911,8/2/1977,c. 1918-1920,
2625 I Street,007-0035-015,3911,8/2/1977,Unknown,Wilder Home
2630-2632 I Street,007-0036-018,3911,8/2/1977,c. 1900,
2828-2830 I Street,007-0044-010,3911,8/2/1977,c. 1912,
3020 I Street,007-0052-008,3911,8/2/1977,c. 1895,
428 J Street & 1010 5th Street,006-0087-043,82-046,6/15/1982,1914,Traveler’s Hotel
600 J Street & 1007 6th Street,006-0091-001,82-046,6/15/1982,1930,Ramona Hotel
629 & 631 J Street,006-0032-012,82-046,6/15/1982,1912,National Gold Bank of
700 J Street & 1007 7th Street,006-0094-003,82-046,6/15/1982,1915-1916,Capital National Bank
727 J Street,006-0034-009,82-046,6/15/1982,1860-1861,Sylvester Tryon Building
904 J Street,006-0101-004,82-046,6/15/1982,c. 1856,Gogings Drug Store
920 J Street,006-0101-011,82-046,6/15/1982,1871-1872,John Bellmer & Company
1123 & 1131 J Street,006-0047-009,82-046,6/15/1982,1920,Masonic Temple
1208-12081/2 J Street,006-0111-003,82-046,6/15/1982,1910-1911,Neva/Emigh Hardware
1230 J Street,006-0111-018,82-046,6/15/1982,1923,Public Market
1530 J Street,006-0121-008,82-046,6/15/1982,1922,W.I. Elliot Company
1624-1630 J Street,006-0123-006,82-046,6/15/1982,1910,Kost Building
1700 J Street,006-0125-001,82-046,6/15/1982,1926,R.H. Black Package Grocery Company
1800 J Street,007-0081-002,3911,8/2/1977,1873,
1910 J Street,007-0083-012,82-055,7/6/1982,1909,Western Pacific Railroad
2100 J Street,007-0091-001,82-046,6/15/1982,1925,1st United Methodist Church
2308 & 2310 J Street,007-0095-004,3911,8/2/1977,1909,
2406-2408 J Street,007-0101-002,3911,8/2/1977,c. 1895,
2610 J Street,007-0105-004,3911,8/2/1977,1896,
2626 J Street,007-0105-008,3911,8/2/1977,1898,
2627 J Street,007-0036-011,3911,8/2/1977,c. 1900,
2724 & 2728 & 2730 J Street,007-0111-020,82-046,6/15/1982,1922,Born Brother’s Groceries
700 K Street,006-0380-001,82-046,6/15/1982,1929,Pacific State Savings Bank
717 K Street,006-0096-022,82-046,6/15/1982,1904,Ochsner Building
818 K Street,006-0098-009,82-046,6/15/1982,1931,S.H. Kress and Company
1029-1031 K Street & 1020 11th Street,006-0103-010,82-046,6/15/1982,1910-1911,Mohr and Yoerk Realty Co.
1100 K Street,006-0106-002,82-046,6/15/1982,1912,PG&E Company
1130 K Street & 1111 12th Street,006-0106-004,82-046,6/15/1982,1923-1924,"Weinstock, Lubin, and Company"
1217 K Street,006-0111-017,82-055,7/6/1982,1940,Esquire Theater
1414 K Street,006-0116-002,82-046,6/15/1982,1924-1925,Pacific Telephone Inland
2131 K Street & 1026 22nd Street,007-0091-006,82-046,6/15/1982,1924-1925,J.F. Giovanetti Groceries
2231 K Street,007-0093-014,3911,8/2/1977,c. 1905-1910,
2305 K Street,007-0095-024,2014-0031,11/18/2014,c. 1884-1885,
2321 & 2323 K Street,007-0095-016,3911,8/2/1977,Unknown,
2326 K Street & 1114 24th Street,007-0096-006,3911,8/2/1977,c. 1890,
2428 K Street,007-0102-009,4221,5/5/1979,1891,
2430 K Street,007-0102-010,3911,8/2/1977,1890,
1121 L Street,006-0106-005,84-118,12/18/1984,1924,Senator Hotel
1531 L Street,006-0122-006,82-046,6/15/1982,1929,Firestone Store #7586
1700 L Street,006-0175-003,82-046,6/15/1982,1931,California State
1800 & 1802 L Street,007-0141-003,82-046,6/15/1982,1909-1910,Abraham Harris-Grocer
1804-1806 L Street,007-0141-004,3911,8/2/1977,1910-1915,
1928 L Street,007-0143-007,3911,8/2/1977,1890,Mercantile House
1931 L Street,007-0084-030,3911,8/2/1977,1900,
2215 L Street,007-0094-017,3911,8/2/1977,1896,
2230 L Street,007-0153-010,3911,8/2/1977,1905,
2301 L Street,007-0096-0125,3911,8/2/1977,1889,
2307 L Street,007-0096-015,3911,8/2/1977,c. 1900,
2101 L Street,007-0092-023,82-046,6/15/1982,1926,Redman’s Hall/
2109 L Street,007-0092-021,3911,8/2/1977,c. 1890,
2126 L Street,007-0151-008,3911,8/2/1977,c. 1895-1900,
2130 L Street,007-0151-009,3911,8/2/1977,1899,
2200 L Street,007-0153-003,3911,8/2/1977,1905,
2208 L Street,007-0153-005,82-046,6/15/1982,c. 1910,F.A. Lafferty-Auto Livery
2401 L Street & 1127 24th Street,007-0102-023,3911,8/2/1977,1904,
2431 L Street,007-0102-015,3911,8/2/1977,c. 1895,
2517-2519 L Street,007-0104-019,3911,8/2/1977,Unknown,
2527 L Street,007-0104-019,3911,8/2/1977,1895,
2700 L Street,007-0171-001,82-046,6/15/1982,1926,Pioneer Memorial Congregational Church
1228 N Street,006-0222-027,3911,8/2/1977,c. 1910-1915,
1700 N Street,006-0235-025,3911,8/2/1977,c. 1885,
1704 N Street,006-0235-003,3911,8/2/1977,1875,
1712 N Street,006-0235-005,3911,8/2/1977,c. 1877,
1724 N Street,006-0235-022,3911,8/2/1977,c. 1905-1910,
1800 N Street,007-0241-003,3911,8/2/1977,c. 1910,
1806 N Street,007-0241-004,3911,8/2/1977,Unknown,
1830 N Street,007-0241-010,3911,8/2/1977,1882,
1931 N Street,007-0144-009,3911,8/2/1977,Unknown,
2012 N Street,007-0245-007,3911,8/2/1977,c. 1895,
2016 N Street,007-0245-008,3911,8/2/1977,c. 1895,
2021 N Street,007-0146-015,3911,8/2/1977,c. 1911,
2115 N Street,007-0152-015,3911,8/2/1977,c. 1892,
2117 & 2119 N Street,007-0152-014,3911,8/2/1977,c. 1894,
2123 N Street,007-0152-013,3911,8/2/1977,1897,
2126-2128 N Street,007-0251-010,3911,8/2/1977,c. 1910-1915,
2130 N Street,007-0251-011,3911,8/2/1977,c. 1888,
2200 N Street,007-0253-001,3911,8/2/1977,1903,
2208 N Street,007-0253-003,3911,8/2/1977,c. 1905-1910,
2213 N Street,007-0154-016,3911,8/2/1977,1898,
2215 N Street,007-0154-015,3911,8/2/1977,c. 1900,
2217 N Street,007-0154-014,3911,8/2/1977,c. 1900,
2218 N Street,007-0253-005,3911,8/2/1977,c. 1900,
2228 N Street,007-0253-007,3911,8/2/1977,c. 1870,
2301 N Street,007-0156-021,3911,8/2/1977,c. 1912,
2326 N Street,007-0255-019,3911,8/2/1977,c. 1890,
2328 N Street,007-0255-019,3911,8/2/1977,c. 1890,
2400 N Street,007-0261-001,82-046,6/15/1982,1922,Fremont Elementary School
2417-2419 N Street,007-0162-013,3911,8/2/1977,c. 1900,
2501 N Street,007-0164-021,3911,8/2/1977,1905,
2504 N Street,007-0263-004,3911,8/2/1977,1910,
2526 N Street,007-0263-009,3911,8/2/1977,c. 1880,
2530 N Street,007-0263-010,3911,8/2/1977,1895-1900,
2531 N Street,007-0164-014,3911,8/2/1977,1895-1900,
806 O Street,006-0206-023,82-046,6/15/1982,Unknown,
1605 O Street,006-0233-019,3911,8/2/1977,1886,
1631 O Street,006-0233-013,3911,8/2/1977,1900,
1704 O Street,006-0236-004,3911,8/2/1977,1895,
1819 O Street,007-0241-016,3911,8/2/1977,1900,
2211 O Street,007-0253-016,3911,8/2/1977,c. 1890,
2215 O Street,007-0253-015,3911,8/2/1977,c. 1885-1890,
2219 O Street,007-0253-014,3911,8/2/1977,c. 1885-1890,
2300 O Street,007-0256-003,82-046,6/15/1982,1910-1911,James Pharmacy
2319 O Street,007-0255-013,3911,8/2/1977,1908,
2322 O Street,007-0256-009,3911,8/2/1977,1896,
2517 O Street,007-0263-017,3911,8/2/1977,c. 1880,
2530 O Street,007-0264-010,3911,8/2/1977,c. 1905,
3001 & 3003 O Street,007-0212-015,82-046,6/15/1982,1917,Rotas Brothers Groceries
1330 P Street,006-0284-010,3911,8/2/1977,c. 1895-1900,
1700 P Street,006-0295-003,3911,8/2/1977,c. 1879 1706,
1712 P Street,006-0295-005,3911,8/2/1977,c. 1879,
1728 P Street,006-0295-007,3911,8/2/1977,c. 1875-1882,
1730 P Street,006-0295-008,3911,8/2/1977,c. 1875-1882,
1800 P Street,007-0311-024,3911,8/2/1977,1894,
1806 P Street,007-0311-025,3911,8/2/1977,c. 1884,
1901 P Street,007-0244-018,3911,8/2/1977,1894,
1907 P Street,007-0244-017,3911,8/2/1977,1894,
1930 P Street,007-0313-008,3911,8/2/1977,Unknown,
2011 P Street,007-0246-009,4217,5/1/1979,1915,Kliensorge House
2021 P Street,007-0246-006,3911,8/2/1977,1902,
2110 & 2114 P Street,007-0321-017,82-055,7/6/1982,1925,"C.H. Chatterton,"
2425-2431 P Street,007-0262-011,3911,8/2/1977,c. 1915-1920,
2600 P Street,007-0335-003,3911,8/2/1977,1915,
2607 P Street,007-0266-017,3911,8/2/1977,1910,
2608 P Street,007-0335-005,3911,8/2/1977,1915,
2609 P Street,007-0266-016,3911,8/2/1977,1895,
2621 P Street,007-0266-014,3911,8/2/1977,1915,
2625 P Street,007-0266-013,3911,8/2/1977,1917,
1000 Q Street,006-0274-003,81-117,12/22/1981,Unknown,
1200 Q Street,006-0282-020,2019-053,12/12/2019,1938,Morgan Jones Mortuary
1206 Q Street,006-0282-004,3911,8/2/1977,c. 1885,
1226 Q Street,006-0282-012,3911,8/2/1977,c. 1895-1900,
1314 Q Street,006-0285-007,3911,8/2/1977,c. 1895,
1316 Q Street,006-0285-008,3911,8/2/1977,c. 1885-1890,
1318 Q Street,006-0285-009,3911,8/2/1977,c. 1885-1890,
1322 Q Street,006-0285-010,3911,8/2/1977,1888,
