OBJECTID,APN,HOUSE,STREET_NAME,STREET_TYPE,ASSESSMENT,RESOURCE_NAME,ORDINANCE,Shape__Area,Shape__Length
1,00701050080000,2626,J,ST,Landmark, ,3911,6515.209961,408.249102
2,00701420150000,1320,19TH,ST,Landmark, ,3911,3040.055664,232.5465627
3,00701520150000,2115,N,ST,Landmark, ,3911,3230.883789,267.4144903
4,00701540120000,1314,23RD,ST,Landmark, ,3911,3397.416992,246.4418665
5,00701560020000,1301,23RD,ST,Landmark, ,3911,3741.242188,264.9286973
6,00702450070000,2012,N,ST,Landmark, ,3911,4425.682617,376.2093591
7,00702530010000,2200,N,ST,Landmark, ,3911,6361.286133,401.2172462
8,00702550190000,2326,N,ST,Landmark, ,3911,2526.141602,243.6517759
9,00702630100000,2530,N,ST,Landmark, ,3911,3712.319336,262.0736992
10,00702630170000,2517,O,ST,Landmark, ,3911,6474.924805,403.7458734
11,00702640100000,2530,O,ST,Landmark, ,3911,3417.382813,245.6722741
12,00703110240000,1800,P,ST,Landmark, ,3911,4174.356445,295.8866977
13,00703530040000,1601,STOCKTON,BLVD,Landmark,"Libby, McNeil, and Libby Fruit & Vegetable Cannery",83-115,137143.2979,1887.901059
14,00900520180000,1930,4TH,ST,Landmark, ,3911,2903.321289,229.6795344
15,00900540150000,425,T,ST,Landmark, ,3911,4532.100586,272.5621318
16,00900620210000,601,T,ST,Landmark,Ms Rebecca Baker-Fruit & Confectionery,82-046,3473.584961,249.8898661
17,00900640010000,1909,7TH,ST,Landmark,Grace Day Center,82-046,26066.99902,646.0672965
18,00900740080000,1022,S,ST,Landmark, ,81-117,5622.302734,398.7239103
19,00900760020000,1909,11TH,ST,Landmark, ,3911,6226.109375,391.3054514
20,00900820220000,1209,T,ST,Landmark,,2014-0027,6307.613281,395.381153
21,00901150040000,504,T,ST,Landmark, ,3911,2912.658203,230.7115729
22,00901310110000,922,T,ST,Landmark, ,3911,3505.898438,255.2944793
23,00901310240000,909,U,ST,Landmark, ,3911,6272.329102,393.6168268
24,00901530050000,1616,T,ST,Landmark, ,3911,6589.859375,411.1787768
25,00901560080000,1724,U,ST,Landmark, ,,6579.563477,406.9379328
26,00901970140000,2200,10TH,ST,Landmark, ,3911,3454.428711,246.2343567
27,00902610090000,1525,BROADWAY,,Landmark,"Y"""" Street Service Station",82-046,12576.00684,470.5059951
28,00902670070000,1730,BROADWAY,,Landmark, ,82-046,5178.878906,296.3149227
29,00904200010000,0,, ,Landmark,Callahan Memorial (Southside Park),83-115,577641.8955,3045.508673
30,01000320130000,1931,21ST,ST,Landmark, ,3911,9123.411133,422.8586828
31,01000340190000,1931,22ND,ST,Landmark, ,3911,3085.257813,233.934579
32,01000510130000,1827,27TH,ST,Landmark,Tudor Revival Duplex.,2015-0012,3548.793945,246.3470012
34,01001010080000,2014,22ND,ST,Landmark, ,3911,2955.776367,230.0679365
35,01001020060000,2130,22ND,ST,Landmark, ,3911,12433.93945,475.7259916
36,01001020090000,2121,21ST,ST,Landmark, ,3911,9790.945313,404.7320482
37,01001040240000,2101,22ND,ST,Landmark, ,3911,6829.214844,347.7639262
38,01001050010000,2015,23RD,ST,Landmark, ,3911,4915.043945,283.0917783
39,01001050210000,2009,23RD,ST,Landmark, ,3911,8333.53125,367.8614069
40,01001660270000,2201,21ST,ST,Landmark, ,3911,13457.24414,486.4785713
41,01001760260000,2600,V,ST,Landmark,Newton Booth School,82-046,110459.5391,1309.712154
42,01002220180000,2201,BROADWAY,,Landmark,Harrold Ellsworth Auto's,82-046,51671.75977,964.3189332
43,01100430020000,4623,T,ST,Landmark,Elmhurst/Coloma Community Center,2009-039,132502.1758,1541.432834
44,01303410830000,3552,7TH,AVE,Landmark,Shiloh Baptist Church,2012-037,135366.1084,1659.731772
45,2.74005E+13,0, , ,Landmark,Jibboom St. Bridge/Cal Trans #24C-22,2011-011,3028351.983,8142.638902
46,00301320190000,531,21ST,ST,Landmark, ,3911,3103.363281,229.0565499
47,00301710220000,617,18TH,ST,Landmark, ,3911,3156.119141,238.6702548
48,00301750130000,612,21ST,ST,Landmark, ,3911,5442.038086,340.4750707
